claim,rating,source,date,evidence,category,url,cleaned_claim,label,text_length,word_count,caps_ratio,exclamation_count
Climate change is a hoax,FALSE,FactCheck.org,2024-12-25,Multiple sources dispute this claim.,Health,https://example.com/fact-check/7508,climate change is a hoax,0,24,5,0.041666666666666664,0
Plants produce oxygen through photosynthesis,TRUE,Nature,2025-08-03,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/3797,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
Remote work could increase productivity,UNCLEAR,FactCheck.org,2025-08-21,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/6492,remote work could increase productivity,2,39,5,0.02564102564102564,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-01-28,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/2291,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
COVID-19 is no worse than the common cold,FALSE,Reuters,2024-11-03,Multiple sources discuss this claim.,Health,https://example.com/fact-check/7470,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Mount Everest is the highest peak on Earth,TRUE,AP News,2025-04-20,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/5388,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
The Great Wall of China is visible from space,FALSE,Nature,2025-02-11,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/7337,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
COVID-19 is no worse than the common cold,FALSE,AP News,2025-05-12,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/5799,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Certain diets may help with weight loss,UNCLEAR,WHO,2025-04-05,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/4218,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Water boils at 100 degrees Celsius at sea level,TRUE,CDC,2025-09-10,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/4850,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
Climate change is a hoax,FALSE,FactCheck.org,2025-06-16,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/1540,climate change is a hoax,0,24,5,0.041666666666666664,0
Artificial intelligence might replace some jobs,UNCLEAR,Scientific American,2025-01-02,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/6632,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Humans need oxygen to breathe,TRUE,CDC,2025-05-12,Multiple sources confirm this claim.,Science,https://example.com/fact-check/7788,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Alternative energy sources might become dominant,UNCLEAR,FactCheck.org,2025-06-06,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/9009,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
DNA contains genetic information,TRUE,Nature,2025-06-16,Multiple sources discuss this claim.,Science,https://example.com/fact-check/9056,dna contains genetic information,1,32,4,0.09375,0
5G networks spread viruses,FALSE,WHO,2024-12-07,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/7113,5g networks spread viruses,0,26,4,0.038461538461538464,0
All GMO foods are dangerous,FALSE,Nature,2025-03-23,Multiple sources discuss this claim.,Science,https://example.com/fact-check/3171,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Coffee might help prevent certain diseases,UNCLEAR,Nature,2025-04-03,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/3192,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
Alternative energy sources might become dominant,UNCLEAR,CDC,2025-07-01,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/9597,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Certain diets may help with weight loss,UNCLEAR,WHO,2025-03-23,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/5274,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
The Earth orbits around the Sun,TRUE,WHO,2025-04-28,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/5708,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Light travels faster than sound,TRUE,Nature,2025-01-29,Multiple sources discuss this claim.,Science,https://example.com/fact-check/4299,light travels faster than sound,1,31,5,0.03225806451612903,0
The Earth orbits around the Sun,TRUE,Scientific American,2024-09-20,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/8354,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Economic growth may improve next year,UNCLEAR,AP News,2025-08-02,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/8528,economic growth may improve next year,2,37,6,0.02702702702702703,0
Plants produce oxygen through photosynthesis,TRUE,Reuters,2025-07-04,Multiple sources confirm this claim.,Science,https://example.com/fact-check/6366,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
Artificial intelligence might replace some jobs,UNCLEAR,Nature,2025-05-24,Multiple sources confirm this claim.,Health,https://example.com/fact-check/4238,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
5G networks spread viruses,FALSE,Reuters,2025-07-28,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/1950,5g networks spread viruses,0,26,4,0.038461538461538464,0
The Earth orbits around the Sun,TRUE,AP News,2025-01-08,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/2530,the earth orbits around the sun,1,31,6,0.0967741935483871,0
New technology could revolutionize transportation,UNCLEAR,FactCheck.org,2024-11-13,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/3617,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Some experts predict market volatility,UNCLEAR,FactCheck.org,2024-11-25,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/7502,some experts predict market volatility,2,38,5,0.02631578947368421,0
Evolution is just a theory without evidence,FALSE,Nature,2025-04-26,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/9372,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
New technology could revolutionize transportation,UNCLEAR,Scientific American,2025-05-26,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/6572,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
5G networks spread viruses,FALSE,Nature,2025-06-08,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/1977,5g networks spread viruses,0,26,4,0.038461538461538464,0
Plants produce oxygen through photosynthesis,TRUE,Nature,2025-05-16,Multiple sources confirm this claim.,Health,https://example.com/fact-check/8863,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
New technology could revolutionize transportation,UNCLEAR,FactCheck.org,2025-09-01,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/8150,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
The Moon orbits around the Earth,TRUE,WHO,2025-04-29,Multiple sources dispute this claim.,Health,https://example.com/fact-check/5081,the moon orbits around the earth,1,32,6,0.09375,0
Diamonds are made of carbon,TRUE,Scientific American,2025-08-07,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/9611,diamonds are made of carbon,1,27,5,0.037037037037037035,0
Remote work could increase productivity,UNCLEAR,FactCheck.org,2024-10-08,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/7054,remote work could increase productivity,2,39,5,0.02564102564102564,0
The Moon orbits around the Earth,TRUE,AP News,2024-11-23,Multiple sources confirm this claim.,Health,https://example.com/fact-check/1175,the moon orbits around the earth,1,32,6,0.09375,0
Some studies suggest meditation can reduce stress,UNCLEAR,Scientific American,2025-08-21,Multiple sources confirm this claim.,Health,https://example.com/fact-check/8358,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Remote work could increase productivity,UNCLEAR,Scientific American,2025-04-06,Multiple sources confirm this claim.,Health,https://example.com/fact-check/8577,remote work could increase productivity,2,39,5,0.02564102564102564,0
The human body has 206 bones,TRUE,CDC,2025-02-11,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/1216,the human body has 206 bones,1,28,6,0.03571428571428571,0
Plants produce oxygen through photosynthesis,TRUE,WHO,2025-07-22,Multiple sources dispute this claim.,Science,https://example.com/fact-check/9169,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
Economic growth may improve next year,UNCLEAR,AP News,2025-07-13,Multiple sources confirm this claim.,Health,https://example.com/fact-check/4108,economic growth may improve next year,2,37,6,0.02702702702702703,0
Vaccines cause autism,FALSE,AP News,2025-03-20,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/2525,vaccines cause autism,0,21,3,0.047619047619047616,0
The Moon landing was faked,FALSE,Science Daily,2024-12-09,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/2983,the moon landing was faked,0,26,5,0.07692307692307693,0
Humans need oxygen to breathe,TRUE,WHO,2025-07-11,Multiple sources discuss this claim.,Health,https://example.com/fact-check/6845,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Light travels faster than sound,TRUE,AP News,2025-04-15,Multiple sources dispute this claim.,Science,https://example.com/fact-check/8555,light travels faster than sound,1,31,5,0.03225806451612903,0
Diamonds are made of carbon,TRUE,WHO,2025-01-18,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/2661,diamonds are made of carbon,1,27,5,0.037037037037037035,0
Economic growth may improve next year,UNCLEAR,Science Daily,2025-01-25,Multiple sources discuss this claim.,Health,https://example.com/fact-check/8568,economic growth may improve next year,2,37,6,0.02702702702702703,0
Humans only use 10% of their brains,FALSE,FactCheck.org,2025-06-17,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/6564,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
DNA contains genetic information,TRUE,FactCheck.org,2025-06-30,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/6595,dna contains genetic information,1,32,4,0.09375,0
New technology could revolutionize transportation,UNCLEAR,CDC,2025-06-17,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/5906,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Some studies suggest meditation can reduce stress,UNCLEAR,CDC,2024-11-14,Multiple sources confirm this claim.,Science,https://example.com/fact-check/2328,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Mount Everest is the highest peak on Earth,TRUE,Nature,2025-04-21,Multiple sources dispute this claim.,Health,https://example.com/fact-check/6569,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
The Moon landing was faked,FALSE,Reuters,2024-11-24,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/5667,the moon landing was faked,0,26,5,0.07692307692307693,0
Economic growth may improve next year,UNCLEAR,Science Daily,2025-02-02,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/4730,economic growth may improve next year,2,37,6,0.02702702702702703,0
COVID-19 is no worse than the common cold,FALSE,Scientific American,2024-11-25,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/8547,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Certain diets may help with weight loss,UNCLEAR,Science Daily,2025-03-13,Multiple sources confirm this claim.,Science,https://example.com/fact-check/9189,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Humans need oxygen to breathe,TRUE,WHO,2025-03-21,Multiple sources discuss this claim.,Science,https://example.com/fact-check/7160,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Some experts predict market volatility,UNCLEAR,AP News,2025-07-22,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/3920,some experts predict market volatility,2,38,5,0.02631578947368421,0
Economic growth may improve next year,UNCLEAR,FactCheck.org,2025-08-30,Multiple sources dispute this claim.,Science,https://example.com/fact-check/2967,economic growth may improve next year,2,37,6,0.02702702702702703,0
All GMO foods are dangerous,FALSE,Reuters,2025-04-26,Multiple sources discuss this claim.,Science,https://example.com/fact-check/3960,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
The Earth is flat,FALSE,CDC,2025-06-30,Multiple sources confirm this claim.,Science,https://example.com/fact-check/1491,the earth is flat,0,17,4,0.11764705882352941,0
The Earth orbits around the Sun,TRUE,WHO,2024-11-06,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/5933,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Social media may affect mental health,UNCLEAR,CDC,2024-12-06,Multiple sources discuss this claim.,Health,https://example.com/fact-check/3415,social media may affect mental health,2,37,6,0.02702702702702703,0
Light travels faster than sound,TRUE,AP News,2025-05-16,Multiple sources confirm this claim.,Science,https://example.com/fact-check/5072,light travels faster than sound,1,31,5,0.03225806451612903,0
Remote work could increase productivity,UNCLEAR,CDC,2025-03-21,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/6463,remote work could increase productivity,2,39,5,0.02564102564102564,0
The Moon orbits around the Earth,TRUE,AP News,2025-01-16,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/7915,the moon orbits around the earth,1,32,6,0.09375,0
Humans need oxygen to breathe,TRUE,Reuters,2025-01-31,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/6945,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Some studies suggest meditation can reduce stress,UNCLEAR,WHO,2025-02-05,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/4175,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Climate change is a hoax,FALSE,Science Daily,2025-01-09,Multiple sources discuss this claim.,Science,https://example.com/fact-check/7869,climate change is a hoax,0,24,5,0.041666666666666664,0
Mount Everest is the highest peak on Earth,TRUE,Science Daily,2024-11-24,Multiple sources dispute this claim.,Health,https://example.com/fact-check/6251,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Certain diets may help with weight loss,UNCLEAR,Reuters,2025-08-27,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/6607,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
The Earth orbits around the Sun,TRUE,Scientific American,2025-08-15,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/9709,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Climate change is a hoax,FALSE,Nature,2025-05-27,Multiple sources discuss this claim.,Science,https://example.com/fact-check/3367,climate change is a hoax,0,24,5,0.041666666666666664,0
Vaccines cause autism,FALSE,AP News,2025-03-08,Multiple sources dispute this claim.,Science,https://example.com/fact-check/5734,vaccines cause autism,0,21,3,0.047619047619047616,0
Water boils at 100 degrees Celsius at sea level,TRUE,AP News,2025-04-07,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/9184,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
Humans need oxygen to breathe,TRUE,FactCheck.org,2024-11-19,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/3849,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
5G networks spread viruses,FALSE,WHO,2024-10-28,Multiple sources confirm this claim.,Health,https://example.com/fact-check/4403,5g networks spread viruses,0,26,4,0.038461538461538464,0
The Moon orbits around the Earth,TRUE,WHO,2025-09-02,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/7895,the moon orbits around the earth,1,32,6,0.09375,0
5G networks spread viruses,FALSE,Science Daily,2025-08-05,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/3889,5g networks spread viruses,0,26,4,0.038461538461538464,0
Vaccines cause autism,FALSE,Reuters,2025-08-29,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/5267,vaccines cause autism,0,21,3,0.047619047619047616,0
Evolution is just a theory without evidence,FALSE,Reuters,2025-03-22,Multiple sources dispute this claim.,Health,https://example.com/fact-check/1647,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
Social media may affect mental health,UNCLEAR,CDC,2025-08-05,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/5907,social media may affect mental health,2,37,6,0.02702702702702703,0
Climate change is a hoax,FALSE,Scientific American,2025-01-11,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/7138,climate change is a hoax,0,24,5,0.041666666666666664,0
Social media may affect mental health,UNCLEAR,Nature,2025-04-13,Multiple sources confirm this claim.,Health,https://example.com/fact-check/1887,social media may affect mental health,2,37,6,0.02702702702702703,0
The Earth is flat,FALSE,FactCheck.org,2025-06-14,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/1348,the earth is flat,0,17,4,0.11764705882352941,0
The human body has 206 bones,TRUE,Scientific American,2025-03-27,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/3572,the human body has 206 bones,1,28,6,0.03571428571428571,0
The Moon landing was faked,FALSE,Scientific American,2025-06-28,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/4462,the moon landing was faked,0,26,5,0.07692307692307693,0
5G networks spread viruses,FALSE,FactCheck.org,2025-04-21,Multiple sources dispute this claim.,Science,https://example.com/fact-check/4245,5g networks spread viruses,0,26,4,0.038461538461538464,0
Vaccines cause autism,FALSE,CDC,2025-01-24,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/2572,vaccines cause autism,0,21,3,0.047619047619047616,0
Humans only use 10% of their brains,FALSE,FactCheck.org,2025-04-11,Multiple sources confirm this claim.,Science,https://example.com/fact-check/2638,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
All GMO foods are dangerous,FALSE,CDC,2024-10-10,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/2344,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Humans only use 10% of their brains,FALSE,FactCheck.org,2025-06-14,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/5672,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
The human body has 206 bones,TRUE,Science Daily,2024-10-01,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/5076,the human body has 206 bones,1,28,6,0.03571428571428571,0
Light travels faster than sound,TRUE,WHO,2024-11-03,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/7747,light travels faster than sound,1,31,5,0.03225806451612903,0
Diamonds are made of carbon,TRUE,AP News,2025-04-27,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/4270,diamonds are made of carbon,1,27,5,0.037037037037037035,0
Remote work could increase productivity,UNCLEAR,Scientific American,2025-07-01,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/2475,remote work could increase productivity,2,39,5,0.02564102564102564,0
The Earth orbits around the Sun,TRUE,Nature,2025-04-18,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/3854,the earth orbits around the sun,1,31,6,0.0967741935483871,0
The Moon landing was faked,FALSE,Scientific American,2025-05-13,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/7810,the moon landing was faked,0,26,5,0.07692307692307693,0
Vaccines cause autism,FALSE,CDC,2025-01-22,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/7251,vaccines cause autism,0,21,3,0.047619047619047616,0
Remote work could increase productivity,UNCLEAR,Science Daily,2025-03-29,Multiple sources dispute this claim.,Science,https://example.com/fact-check/3032,remote work could increase productivity,2,39,5,0.02564102564102564,0
The human body has 206 bones,TRUE,CDC,2025-05-08,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/3955,the human body has 206 bones,1,28,6,0.03571428571428571,0
New technology could revolutionize transportation,UNCLEAR,Science Daily,2024-11-19,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/1932,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Mount Everest is the highest peak on Earth,TRUE,Nature,2025-02-17,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/5221,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
The Moon landing was faked,FALSE,FactCheck.org,2025-01-13,Multiple sources dispute this claim.,Health,https://example.com/fact-check/1072,the moon landing was faked,0,26,5,0.07692307692307693,0
DNA contains genetic information,TRUE,Nature,2025-03-05,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/8517,dna contains genetic information,1,32,4,0.09375,0
Evolution is just a theory without evidence,FALSE,WHO,2024-10-31,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/8354,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
The Moon orbits around the Earth,TRUE,Reuters,2025-07-22,Multiple sources confirm this claim.,Science,https://example.com/fact-check/1239,the moon orbits around the earth,1,32,6,0.09375,0
DNA contains genetic information,TRUE,Reuters,2025-04-29,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/2568,dna contains genetic information,1,32,4,0.09375,0
Some experts predict market volatility,UNCLEAR,Nature,2025-07-23,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/7248,some experts predict market volatility,2,38,5,0.02631578947368421,0
Diamonds are made of carbon,TRUE,CDC,2025-07-31,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/7961,diamonds are made of carbon,1,27,5,0.037037037037037035,0
Some studies suggest meditation can reduce stress,UNCLEAR,Science Daily,2025-06-01,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/6787,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Artificial intelligence might replace some jobs,UNCLEAR,CDC,2024-11-16,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/5724,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
The human body has 206 bones,TRUE,AP News,2025-07-23,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/1361,the human body has 206 bones,1,28,6,0.03571428571428571,0
Coffee might help prevent certain diseases,UNCLEAR,Reuters,2025-01-05,Multiple sources discuss this claim.,Science,https://example.com/fact-check/8050,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
Alternative energy sources might become dominant,UNCLEAR,Science Daily,2024-11-05,Multiple sources discuss this claim.,Science,https://example.com/fact-check/6480,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Vaccines cause autism,FALSE,AP News,2025-01-17,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/8367,vaccines cause autism,0,21,3,0.047619047619047616,0
Coffee might help prevent certain diseases,UNCLEAR,FactCheck.org,2025-08-31,Multiple sources discuss this claim.,Science,https://example.com/fact-check/6700,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
Water boils at 100 degrees Celsius at sea level,TRUE,AP News,2025-06-27,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/5739,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
The human body has 206 bones,TRUE,WHO,2024-12-30,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/3693,the human body has 206 bones,1,28,6,0.03571428571428571,0
COVID-19 is no worse than the common cold,FALSE,FactCheck.org,2025-05-08,Multiple sources discuss this claim.,Science,https://example.com/fact-check/5215,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Remote work could increase productivity,UNCLEAR,Scientific American,2025-09-01,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/6412,remote work could increase productivity,2,39,5,0.02564102564102564,0
Humans need oxygen to breathe,TRUE,Reuters,2024-12-13,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/2795,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Artificial intelligence might replace some jobs,UNCLEAR,Nature,2025-08-04,Multiple sources confirm this claim.,Health,https://example.com/fact-check/3343,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Economic growth may improve next year,UNCLEAR,Reuters,2025-08-11,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/9334,economic growth may improve next year,2,37,6,0.02702702702702703,0
Vaccines cause autism,FALSE,AP News,2025-06-10,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/5057,vaccines cause autism,0,21,3,0.047619047619047616,0
Humans only use 10% of their brains,FALSE,WHO,2025-08-14,Multiple sources dispute this claim.,Science,https://example.com/fact-check/5928,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
Some studies suggest meditation can reduce stress,UNCLEAR,WHO,2024-11-06,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/5600,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Remote work could increase productivity,UNCLEAR,WHO,2024-11-29,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/1799,remote work could increase productivity,2,39,5,0.02564102564102564,0
COVID-19 is no worse than the common cold,FALSE,FactCheck.org,2025-08-29,Multiple sources confirm this claim.,Health,https://example.com/fact-check/5566,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Mount Everest is the highest peak on Earth,TRUE,Nature,2025-07-20,Multiple sources discuss this claim.,Health,https://example.com/fact-check/6339,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
The Earth is flat,FALSE,FactCheck.org,2025-04-03,Multiple sources discuss this claim.,Health,https://example.com/fact-check/3124,the earth is flat,0,17,4,0.11764705882352941,0
Evolution is just a theory without evidence,FALSE,CDC,2024-12-14,Multiple sources confirm this claim.,Science,https://example.com/fact-check/4959,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
Light travels faster than sound,TRUE,Reuters,2025-07-06,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/3734,light travels faster than sound,1,31,5,0.03225806451612903,0
Coffee might help prevent certain diseases,UNCLEAR,CDC,2025-01-21,Multiple sources confirm this claim.,Science,https://example.com/fact-check/9612,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
New technology could revolutionize transportation,UNCLEAR,Nature,2024-12-06,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/5295,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Social media may affect mental health,UNCLEAR,Reuters,2025-08-31,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/2909,social media may affect mental health,2,37,6,0.02702702702702703,0
All GMO foods are dangerous,FALSE,Reuters,2025-04-17,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/9980,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Climate change is a hoax,FALSE,Nature,2024-10-29,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/1745,climate change is a hoax,0,24,5,0.041666666666666664,0
Water boils at 100 degrees Celsius at sea level,TRUE,CDC,2025-05-25,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/9140,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
Remote work could increase productivity,UNCLEAR,AP News,2025-03-17,Multiple sources dispute this claim.,Health,https://example.com/fact-check/5722,remote work could increase productivity,2,39,5,0.02564102564102564,0
Remote work could increase productivity,UNCLEAR,Nature,2025-01-27,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/8518,remote work could increase productivity,2,39,5,0.02564102564102564,0
Some studies suggest meditation can reduce stress,UNCLEAR,Reuters,2024-11-20,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/1740,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Some experts predict market volatility,UNCLEAR,WHO,2025-04-04,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/5430,some experts predict market volatility,2,38,5,0.02631578947368421,0
Water boils at 100 degrees Celsius at sea level,TRUE,Science Daily,2025-05-24,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/4989,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
The Earth is flat,FALSE,WHO,2025-09-15,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/4292,the earth is flat,0,17,4,0.11764705882352941,0
The Earth orbits around the Sun,TRUE,Nature,2024-12-11,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/5151,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Plants produce oxygen through photosynthesis,TRUE,AP News,2025-02-28,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/4972,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
Evolution is just a theory without evidence,FALSE,FactCheck.org,2025-08-02,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/3897,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
COVID-19 is no worse than the common cold,FALSE,Scientific American,2025-04-04,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/2567,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Light travels faster than sound,TRUE,Scientific American,2024-12-12,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/3954,light travels faster than sound,1,31,5,0.03225806451612903,0
